despues_C_delta_1,despues_C_delta_2,despues_C_delta_3,despues_C_delta_4,despues_C_delta_5,despues_C_delta_6,despues_C_delta_7,despues_C_delta_8,despues_C_delta_9,despues_C_delta_10,despues_C_delta_11,despues_C_delta_12,despues_C_delta_13,despues_C_delta_14,despues_C_delta_15,despues_C_delta_16,despues_C_delta_17,despues_C_delta_18,despues_C_delta_19,Sujeto,Clase
0.65455,0.80556,0.60606,0.73333,0.5,0.63636,0.52381,0.5,0.69091,0.56364,0.73333,0.63636,0.80952,0.4,0.7,0.57778,0.57143,0.64444,0.53571,A9AYAND,H
NaN,0.92857,0.69091,0.42857,1,0.71111,0.53333,1,0.77778,0.83333,0.61818,0.69091,0.77778,0.73333,0.5,1,0.42857,0.7619,0.5,B10ESTO,M
0.8,0.74286,0.81667,0.75,0.75,0.86813,0.8022,0.86813,0.77143,0.8381,0.87273,0.66667,0.8022,0.88462,0.88889,0.8022,0.78788,0.84615,0.75641,B11SUPR,H
0.6,0.73333,0.80556,1,1,0.54545,0.65455,0.73333,0.58182,0.63636,1,1,0.58182,0.64103,0.63636,0.85714,0.85714,0.60606,0.61818,B12LARA,H
1,0.61905,0.57143,0.57143,0.73333,0.66667,0.66667,0.66667,0.57143,0.47619,0.66667,0.6,0.4,0.5,1,0.73333,0.73333,0.33333,0.73333,B13VIGA,H
0.75556,0.78182,0.78182,1,0.66667,0.83333,0.5,0.83333,0.72727,0.68889,0.52381,0.53333,0.72727,0.54545,0.73333,0.83333,0.66667,0.66667,0.93333,B14FOVA,M
0.84615,0.79048,0.9697,0.9011,1,0.79048,NaN,1,0.8381,0.9011,0.8381,0.96154,0.79121,0.96154,0.75833,0.78022,0.84615,0.78571,0.86111,B15GOGO,M
0.53333,0.83636,0.83636,0.66667,0.5,0.83636,0.75758,0.53333,0.84444,0.33333,0.6,0.82143,0.75758,0.86667,0.7,0.7,0.77778,0.84444,0.97222,B17ARTO,M
0.6,1,1,0.75238,0.65833,0.84848,1,1,0.81319,0.81319,0.87179,0.65833,0.90476,0.7,0.64286,0.8,0.80556,0.8,0.64103,B18CASI,H
0.88571,0.88571,0.97436,0.88571,0.92308,0,0.95604,0.95604,0.91209,0.75,0,0.85714,0.85714,0.87879,0.85714,0.88571,0.91209,0.95604,0.6,B20RORA,M
0.84444,0.75758,0.7033,NaN,0.96429,0.84444,0.81818,0.91667,0.8,0.73077,0.88889,0.7619,0.75,0.75758,0.7033,0.92857,0.33333,0.65934,0.77273,B21GUDE,M
0.88971,1,1,NaN,1,1,1,1,1,1,1,0.88971,1,1,1,1,1,1,1,B22VIPU,H
0.46429,0.7,0.65385,0.4,0.7,0.75556,0.88889,0.46429,0.70909,0.74545,0.68889,0.63889,0.84444,0.71212,0.75,0.5,0.72727,0.66667,0.6,B23VEZE,M
0.69444,0.69444,0.4,0.61905,0.66667,0.3,0.68889,0.47619,0.57143,0.48889,0.58333,0.69444,0.66667,0.6,0.78571,0.33333,0.58333,0.42857,0.5,B24CECU,H
0.66667,0.57143,0.47619,0.61905,0.57778,0.64286,0.53571,0.68889,0.61905,0.62222,0.5,0.53333,0.5,0.52727,0.68889,0.66667,0.57143,0.61111,0.72222,B25MEVI,M
0.94505,0.94505,0.75238,1,0.84167,0.84615,0.9,NaN,0.84167,0.84167,1,0.81667,0.77206,0.84167,0.84167,0.89744,0.88571,1,0.86667,B4CAZAD,H
0.7619,0.68889,0.66667,0.66667,0.74242,0.66667,0.9,0.8,0.82143,0.7033,0.75641,0.8,0.75641,0.64835,0.65455,0.72222,0.81818,0.72727,0.7033,B5ARMON,M
0.66667,0.66667,0.92308,1,1,0.63636,0.66176,0.82418,0.725,0.92308,0.85714,0.71429,0.88462,0.85714,0.92308,0.66667,0.66667,0.9,1,B6SOMOD,M
0.63636,0.62121,0.71111,0.61818,0.66667,0.57143,0.80952,0.64444,0.77778,0.5641,0.64444,0.52381,0.85714,0,0.62637,0.72727,0.5,0.93333,0.68889,B7MESEA,H
0.86667,0.91429,0.88571,0.86667,0.76923,0.33333,0.96154,0.9011,0.86667,0.94505,0.96154,0.91429,0.80769,0.91429,0.86667,0.9011,0.97222,NaN,0.88571,B8RAMOM,H
0.61818,0.80952,0.67857,0.72727,0.68182,0.72222,0.51282,0.75556,0.5,0.66667,0.65455,0.54545,0.8,0.65455,0.64103,0.60606,0.69444,0.71429,0.65455,M9BENIE,H
0.91111,0.95455,0.82857,0.82857,1,0.8381,0.82857,0.84615,0.9359,0.91209,0.91209,1,0.8381,0.8381,0.78333,0.96429,0.73529,NaN,0.85897,M10CAUR,M
0.57143,0.64444,0.55556,0.67273,0.80952,0.53333,0.66667,0.80556,0.57143,0.67273,0.66667,0.6,0.71429,0.73333,0.63636,0.80952,0.61905,0.85714,0.80556,M11BADE,M
0.81818,0.67033,1,0.89091,0.6,0,0.75,0.89091,0.71795,0.71429,0.33333,0.81818,0.53571,0.61538,0.71795,0.77273,0.80303,0.89091,0.7619,M12SAES,H
0.55556,0.53571,1,0.48889,0.66667,1,0.47619,0.66667,0.6,1,0.60714,0.53333,0.41667,0.66667,0.60714,0.57143,0.66667,0.5,1,M13FECA,M
0.81818,0.85897,0.83516,0.72727,0.95556,0.75641,0.5,0.8,0.83516,0.76923,0.83516,0.46667,0.71429,0.83516,0.76923,0.85897,1,0.66667,0.70909,M16ARVE,M
0.67857,0.85714,0.62222,0.71429,0.53333,0.53333,0.78571,0.7,0.64444,0.71429,0.52778,0.78571,0.6,0.71429,0.47619,0.53333,0.78571,0.75,1,M17GOSE,M
0.86765,0.925,0.925,0.84762,1,1,0.925,0.88889,0.86765,0.86765,0.83333,0.925,0.86765,0.925,0.81618,0.84762,0.96703,0.98718,0.925,M18HUME,M
0.83516,0.84615,0.86111,0.79121,0.78095,1,0.98182,0.86813,0.79048,1,0.83636,0.87879,0.9697,0.86813,0.86813,0.79048,NaN,NaN,0.9697,M19NAMO,H
0.89286,0.83636,0.66667,0.70909,0.86364,0.9,0.66667,0.86364,0.80303,0.74359,0.61905,0.78205,0.71212,0.92727,0.72527,0.47222,0.51111,0.78205,0.61905,M21SANA,M
0.91667,0.94444,0.77143,0.8,0.81818,0.75758,1,0.8022,0.775,0.775,0.97778,0.86364,0.76667,0.92727,0.74265,0.84615,0.82418,0.78022,0.725,M22HUGU,M
0.92857,0.77778,0.69697,0.96429,0.96429,0.92857,0.66667,0.71212,0.69697,0.74545,0.75,0.92857,0.65385,0.58974,0.96429,0.8,0.71429,NaN,0.71212,M23SACA,M
0.65385,0.68182,0.61905,0.83333,0.81818,0.77778,0.66667,0.68132,0.76923,0.81818,0.64103,0.86667,0,0.61905,0.6,0.83333,0.4,0.84444,0.75556,M24SAME,H
NaN,0.83333,0.90909,0.87879,0.79121,0.72727,0.8,0.64103,0.85455,0.87879,0.85897,0.85714,0.77273,0.84848,0.85897,0.85897,0.57143,0.65833,0.75758,M25MAVI,M
0.75556,0.69697,0.69697,0.76364,0.71429,0.66667,0.66667,0.80556,0.56364,0.73333,0.93333,0.67857,0.67857,0.75,0.71212,0.71212,0.4,0.7,0.63636,M27MUAG,H
0.8,0.72527,0.79121,0.87179,0.98182,0.7619,0,0.79121,0.69091,0.87179,0.92424,0.73333,0.60256,0.98182,0.87179,0.98182,0.5,0.81818,0.87179,M28NUCO,M
0.52727,0.7619,0.66667,0.71429,0.82143,0.57778,0.93333,0.72222,0.63889,0.33333,0.64286,0.71429,0.75,0.6,0.69444,0.78571,0.57143,0.37778,0.82143,M3ESDIR,H
0.825,0.89744,0.80147,0.97778,0.86813,0.80147,0.86667,0.86667,0.91209,0.73856,0.80303,0.9697,0.93939,0.79048,1,0.84848,1,0.80147,0.75,M7FLSAA,H
0.8022,0.8022,0.93939,0.79121,0.95238,0.76923,0.97222,0.74725,0.81319,NaN,0.82051,0.9,0.73626,0.72527,0.72381,1,0.77778,1,0.7,M8AVGUK,H
0.8,0.83333,0.89091,0.79412,0.91209,0.79412,1,0.97436,0.79412,0.86667,0.97436,0.77778,0.81905,0.93407,0.94872,0.88571,0.84615,1,0.79412,M9SAAND,H
