despues_E_beta_1,despues_E_beta_2,despues_E_beta_3,despues_E_beta_4,despues_E_beta_5,despues_E_beta_6,despues_E_beta_7,despues_E_beta_8,despues_E_beta_9,despues_E_beta_10,despues_E_beta_11,despues_E_beta_12,despues_E_beta_13,despues_E_beta_14,despues_E_beta_15,despues_E_beta_16,despues_E_beta_17,despues_E_beta_18,despues_E_beta_19,Sujeto,Clase
10,6,11,1,2,2,2,1,23,13,3,20,24,25,8,6,21,7,13,B10ESTO,M
3,16,10,2,3,16,16,2,22,22,1,5,13,11,4,1,8,10,0,B11SUPR,H
2,2,39,9,28,2,1,27,27,31,35,4,1,21,35,22,3,0,32,B12LARA,H
1,9,3,1,14,6,0,10,10,3,18,1,8,22,12,15,5,14,1,B13VIGA,H
3,42,60,49,32,21,13,27,54,58,69,1,22,54,49,59,2,8,58,B14FOVA,M
0,2,19,13,15,0,0,3,7,9,21,3,2,16,23,16,1,0,3,B15GOGO,M
36,1,35,6,1,21,8,55,37,34,0,3,49,47,56,14,34,23,29,B17ARTO,M
48,57,4,6,1,64,48,6,44,63,56,49,14,56,0,27,61,61,64,B18CASI,H
4,7,8,2,5,4,6,12,8,6,12,1,4,8,15,10,3,6,17,B20RORA,M
0,0,18,0,18,0,0,19,21,30,30,0,3,26,32,24,0,0,19,B21GUDE,M
2,0,0,0,2,3,1,1,3,9,7,3,6,8,4,3,2,3,0,B22VIPU,H
16,0,40,6,36,20,3,15,45,26,31,16,14,23,35,24,13,20,37,B23VEZE,M
1,0,5,9,0,10,1,8,2,9,22,1,1,7,10,9,0,7,12,B24CECU,H
11,19,7,4,1,9,3,5,12,13,4,14,4,1,8,1,5,0,2,B25MEVI,M
0,49,82,78,78,6,33,69,78,80,78,45,66,63,83,52,21,13,73,B4CAZAD,H
0,0,6,8,1,0,0,2,6,6,7,0,0,0,1,1,0,0,1,B5ARMON,M
0,12,19,26,10,4,7,16,11,31,36,8,25,31,33,22,3,11,22,B6SOMOD,M
3,1,0,16,15,2,0,10,2,9,16,2,0,10,22,12,1,4,7,B7MESEA,H
10,27,2,23,14,24,0,11,38,30,27,11,24,20,32,7,6,4,8,B8RAMOM,H
0,3,3,13,7,1,2,7,4,7,12,0,3,13,7,8,0,0,0,M9BENIE,H
5,7,14,21,14,1,0,10,6,19,24,5,1,4,12,21,0,1,15,M10CAUR,M
6,6,19,23,28,14,1,10,18,32,29,6,0,29,29,32,3,3,15,M11BADE,M
5,24,26,19,17,17,23,16,19,15,26,14,23,25,26,11,27,1,5,M12SAES,H
0,1,5,3,1,0,0,0,3,8,5,1,1,1,4,0,0,0,0,M13FECA,M
1,21,25,24,24,6,3,40,40,36,52,34,40,20,8,17,38,9,3,M16ARVE,M
11,17,11,2,3,9,1,5,23,17,4,13,19,12,7,2,2,1,0,M17GOSE,M
2,7,10,9,7,4,2,4,8,8,16,2,6,10,8,7,6,7,3,M18HUME,M
1,6,15,32,28,7,2,16,18,37,37,0,0,34,25,27,1,1,25,M19NAMO,H
0,82,74,72,62,80,1,71,59,72,64,28,82,71,82,34,6,0,62,M21SANA,M
0,18,33,26,2,20,8,7,27,24,0,0,29,15,28,2,3,6,4,M22HUGU,M
0,28,35,36,21,0,1,11,31,29,38,0,30,5,19,38,3,0,5,M23SACA,M
7,15,29,27,4,5,25,12,30,27,15,5,13,20,12,16,14,6,3,M24SAME,H
3,0,8,11,12,0,0,8,6,14,18,2,2,9,7,3,2,3,0,M25MAVI,M
0,12,1,19,6,0,6,19,6,20,20,0,0,3,14,0,0,0,6,M27MUAG,H
0,0,22,24,19,0,3,12,3,9,26,1,2,5,24,15,0,0,15,M28NUCO,M
1,13,20,41,23,8,0,7,9,42,31,22,13,27,37,19,0,18,23,M3ESDIR,H
33,36,54,25,33,37,50,31,28,17,26,28,28,1,12,16,40,0,6,M7FLSAA,H
18,13,24,18,6,9,3,10,21,35,23,1,4,11,27,17,3,9,12,M8AVGUK,H
7,34,46,50,31,50,0,29,42,54,24,8,10,29,43,15,3,0,50,M9SAAND,H
