despues_C_theta_1,despues_C_theta_2,despues_C_theta_3,despues_C_theta_4,despues_C_theta_5,despues_C_theta_6,despues_C_theta_7,despues_C_theta_8,despues_C_theta_9,despues_C_theta_10,despues_C_theta_11,despues_C_theta_12,despues_C_theta_13,despues_C_theta_14,despues_C_theta_15,despues_C_theta_16,despues_C_theta_17,despues_C_theta_18,despues_C_theta_19,Sujeto,Clase
0.62222,0.74286,0.77143,0.75238,0.84848,0.83333,0.77143,0.83333,0.76923,0.76364,0.86364,0.89091,NaN,0.8022,0,0.82222,0.86364,0.81818,0.81818,B18CASI,B
0.87273,0.33333,NaN,1,NaN,0.87273,0.97222,NaN,1,1,1,0.87273,0.97222,0.65152,0.65455,0.63889,0.87273,0.87273,0.87273,B22VIPU,B
0.5,0.47619,0.60714,0.64286,0.6,0,0.4,0.66667,0.4,0.6,0.60714,0.36111,0.33333,0.57143,0.55556,0.66667,0.34545,0.33333,1,B24CECU,B
0.71429,0.68889,0.8,0.76364,0.77778,0.90476,1,0.8,0.80952,0.78571,0.70909,0.61538,0.56044,0.60606,0.59091,0.67273,0.57692,0.9,1,B4CAZAD,B
0.80952,0.67857,0.69444,0.77778,0.66667,1,0.75,0.69444,0.67857,0.55556,0.77778,0.86667,0.93333,0.53571,0.72222,0.85714,0.93333,0.66667,0.86667,B7MESEA,B
0.64286,0.63636,0.83333,0.5,0.33333,0.61111,0.66667,0,0.86667,0.8,0.62821,0.8,0.8,0.67273,0.78182,1,0.78182,0.71429,0.86667,B8RAMOM,B
NaN,NaN,0.6,0.8,0.8,0,0.4,0.8,0,0.46429,0.5,1,0.52381,0.53571,0.73333,0.6,NaN,1,0.8,M9BENIE,M
0.6,0.80556,0.62121,0.44444,0.33333,0.8,0.75,0.5,0.8,0.63636,0.42857,0.57778,0.69091,0.73333,0.3,0.66667,0.6,1,0.47619,M12SAES,M
0.77778,0.53333,0.75556,0.66667,0.61111,0.66667,0.7619,0.66667,0.59091,0.5,0.64444,0.74545,0.16667,0.62821,0.65385,0.74545,0.85714,0.53333,0.65152,M19NAMO,M
0.9,0.78571,0.56061,0.56364,0.73333,0.73333,NaN,0.66667,0.57778,0.7619,0.59091,0.9,0.62222,0.60714,0.80952,0.9,0.58182,0.71111,0.61111,M24SAME,M
0.71111,0.61538,0.66667,0.9,0.64444,0.68889,0.71429,0.62222,0.61538,0.61538,0.46429,0.89286,0.65385,0.63636,0.63636,0.61818,0.89286,0.85714,0.8,M27MUAG,M
1,0.91667,1,0.61818,0.6,0.33333,0.44444,0.8,0.91667,0.91667,0.75556,0.3,0.91667,0.74545,0.52778,0.6,0.55556,0.66667,0.53571,M3ESDIR,M
1,0.51515,0.6,0.60256,0.69444,0.69444,0.62222,0.71429,0.71212,0.63636,0.66667,0.75556,0.65455,0.75,0.74545,0.73333,0.61818,1,0.64444,M7FLSAA,M
0.74242,0.76923,0.84615,0.74286,0.66667,0.85897,0.89394,0.77778,0.73077,0.73077,0.79121,0.70513,0.74167,0.78182,0.67949,0.66667,0.6,0.84848,0.6,M8AVGUK,M
0.55556,0.73333,0.67857,0.58182,0.41818,0.71429,0.71429,0.73333,0.55556,0.52727,1,0.57778,0.52727,0.47273,0.60714,1,1,0.53571,0.63889,M9SAAND,M
