despues_C_beta_1,despues_C_beta_2,despues_C_beta_3,despues_C_beta_4,despues_C_beta_5,despues_C_beta_6,despues_C_beta_7,despues_C_beta_8,despues_C_beta_9,despues_C_beta_10,despues_C_beta_11,despues_C_beta_12,despues_C_beta_13,despues_C_beta_14,despues_C_beta_15,despues_C_beta_16,despues_C_beta_17,despues_C_beta_18,despues_C_beta_19,Sujeto,Clase
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A52CUCA,A
0.38889,0.6,0.90476,0.75556,0.6,0.78571,0.62222,0.64286,0.41667,0.62222,0.69091,0.53333,0.83333,0.72222,0.57576,0.68889,1,0.73333,0.67857,A9AYAND,A
0.3,0.7619,0.27778,0.66667,0.2,0.57143,0.57143,0.2,0.61111,0.48889,0.33333,0.5,0.61905,0.52381,0.26667,0.33333,0.38095,0.66667,0,B11SUPR,B
0.33333,0.66667,0.59091,0.6,0.62222,0.33333,1,0.75,0.49091,0.68889,0.77778,0.66667,0.33333,0.58333,0.77778,0.78571,0.3,NaN,0.88889,B12LARA,B
1,0.6,0.5,1,0.93333,1,NaN,0.66667,0.47619,0.5,0.5,1,0.8,0.4,0.57143,0.71429,0.33333,0.93333,1,B13VIGA,B
0.87273,0.86364,0.66667,0.4,1,0.82051,0.72727,0.4,0.97778,0.69231,0.71795,0.89091,0.93333,0.71795,NaN,0.96429,0.78205,0.78205,0.82051,B18CASI,B
0.2,NaN,0,NaN,0.33333,0.5,1,1,0.5,0.42857,0.33333,0.5,0.4,0.53333,0.66667,0.5,0.66667,1,NaN,B22VIPU,B
1,NaN,0.33333,0.42857,NaN,0.66667,1,0.53333,0.33333,0.42857,0.48889,0.33333,0.33333,0.46667,0.66667,0.6,0,0.7,0.57143,B24CECU,B
NaN,0.74242,0.78095,0.85714,0.85714,1,0.91667,0.88462,0.74286,0.7619,0.85714,0.81818,0.72527,0.80769,0.79048,0.94545,0.75,0.86667,0.8022,B4CAZAD,B
0.2,1,NaN,0.7619,0.71429,0.33333,NaN,1,0.33333,0.9,0.7619,0.33333,0,0.47619,0.48889,0.8,0.33333,0.66667,0.33333,B7MESEA,B
0.66667,0.6,0.66667,0.51111,0.5,0.53333,NaN,0.73333,0.57576,0.66667,0.6,0.52381,0.66667,0.71429,0.48485,0.7,0.4,0.66667,0.53333,B8RAMOM,B
NaN,1,1,0.61905,0.33333,1,0.66667,0.46667,0.66667,0.46667,0.57143,NaN,0.5,0.28889,0.46667,0.8,0,NaN,NaN,M9BENIE,M
0.5,0.66667,0.57778,0.67857,0.80952,0.80952,0.51111,0.7619,0.90476,0.41667,0.47273,0.93333,0.63889,0.55556,0.57778,0.73333,0.6,0.33333,0.33333,M12SAES,M
1,0.4,0.71429,0.58182,0.62222,0.7,0.33333,0.7619,0.64286,0.67273,0.67273,NaN,NaN,0.75556,0.89286,0.75,0.16667,0.33333,0.89286,M19NAMO,M
0.7,0.53571,0.52727,0.6,0.66667,0.83333,0.55556,0.8,0.45455,0.6,0.71429,0.83333,0.61905,0.55556,0.8,0.35556,0.5,1,1,M24SAME,M
NaN,0.8,1,0.52778,0.6,0,1,0.52778,1,0.55556,0.55556,0,0,1,0.5,0,0,0,0.6,M27MUAG,M
1,0.46429,0.71429,0.62121,0.63889,0.38095,0,0.46667,0.6,0.53846,0.68889,0.61111,0.61905,0.6,0.67273,0.90476,0,0.85714,0.82143,M3ESDIR,M
0.91667,0.8,0.59341,0.69444,0.6,0.82222,0.64103,0.68889,1,0.60714,0.57778,1,1,1,0.8,0.7619,0.72727,NaN,1,M7FLSAA,M
0.64286,0.61905,0.53333,0.64286,0.6,0.9,1,0.47619,0.58333,0.5303,0.63889,1,0.66667,0.52381,0.6,0.60714,1,0.9,0.8,M8AVGUK,M
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,NaN,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,NaN,0.75758,M9SAAND,M
