despues_C_alpha_1,despues_C_alpha_2,despues_C_alpha_3,despues_C_alpha_4,despues_C_alpha_5,despues_C_alpha_6,despues_C_alpha_7,despues_C_alpha_8,despues_C_alpha_9,despues_C_alpha_10,despues_C_alpha_11,despues_C_alpha_12,despues_C_alpha_13,despues_C_alpha_14,despues_C_alpha_15,despues_C_alpha_16,despues_C_alpha_17,despues_C_alpha_18,despues_C_alpha_19,Sujeto,Clase
0.33333,0.2,0.52778,0.85714,0.7619,0.19048,0.85714,0.4,0.33333,0.47619,0.67857,0.33333,0.33333,0.5,0.7619,0.7619,1,0.33333,0.33333,B24CECU,B
0.9,0.69091,0.65152,0.68182,0.68182,0.69231,1,1,0.7033,0.65934,0.93333,NaN,0.86667,0.81818,0.78788,0.69231,0.82222,1,0.64835,B4CAZAD,B
0.66667,1,1,0.80952,0.67857,0.4,NaN,1,0.26667,0.57143,0.67857,0.33333,NaN,0.47619,0.67857,0.53571,NaN,0,0.4,B7MESEA,B
0.89394,0.83333,0.84615,0.78205,0.82051,0.8022,0.92857,0.85455,0.7619,0.78022,0.60606,0.73333,0.78022,0.72727,0.5,1,0.7619,0.77778,1,B8RAMOM,B
0.5,0.5,0.33333,0.60714,0.60714,0.33333,1,NaN,0.53571,0.67857,0.55556,0.5,NaN,0.61111,0.58333,NaN,0.57143,1,0.6,M9BENIE,M
0.44444,0.73333,0.5,0.42857,0.47222,0.73333,0.8,0.47222,0.5,0,0.8,0.4,0.26667,1,0.5,0.3,0.6,NaN,0.33333,M12SAES,M
0.63889,0.74545,0.69091,0.66667,0.8,0.61818,0.71111,0.75,0.67033,0.65385,0.64103,0.66667,0.69444,0.73333,0.57143,0.65152,0.66667,0.8,0.58333,M19NAMO,M
0.86667,0.68333,0.8022,0.86364,1,0.74242,0.85455,0.95556,0.87879,0.71429,0.89091,0.93333,0.68333,0.8022,0.86364,0.64835,0.82143,0.73333,0.80952,M24SAME,M
0.7,0.51111,0.62222,0.62222,0.5,0,0.57143,0.71429,0.57778,0.66667,0.57143,0.5,0.53571,0.53571,0.46667,0.5,0.55556,0.57143,0.4,M27MUAG,M
0.51111,0.63636,1,0.58333,0.50909,0.57143,0.66667,0.60714,0.90476,0.62222,0.66667,0.58333,0.59091,0.67273,0.54545,0.7,0.67273,0.71111,0.6,M3ESDIR,M
0.65934,0.93333,0.67033,0.84848,0.81818,0.83333,0.69091,0.81818,0.83333,0.66667,0.72527,0.86111,0.71429,0.83333,0.73626,0.93333,0.65,0.83636,0.73626,M7FLSAA,M
0.85714,0.62121,0.84444,0.69697,0.53571,0.96429,0.74545,0.6,0.82222,0.85714,0.59341,0.93333,0.60606,0.74545,0.7,0.83333,1,0.46429,1,M8AVGUK,M
0.98485,0.87912,0.80556,0.64762,0.75,0.80952,0.94872,0.82418,0.86813,0.80952,0.8,1,0.98485,0.86813,0.63399,1,0.86813,0.80952,0.73333,M9SAAND,M
