despues_C_delta_1,despues_C_delta_2,despues_C_delta_3,despues_C_delta_4,despues_C_delta_5,despues_C_delta_6,despues_C_delta_7,despues_C_delta_8,despues_C_delta_9,despues_C_delta_10,despues_C_delta_11,despues_C_delta_12,despues_C_delta_13,despues_C_delta_14,despues_C_delta_15,despues_C_delta_16,despues_C_delta_17,despues_C_delta_18,despues_C_delta_19,Sujeto,Clase
0.6,1,1,0.75238,0.65833,0.84848,1,1,0.81319,0.81319,0.87179,0.65833,0.90476,0.7,0.64286,0.8,0.80556,0.8,0.64103,B18CASI,B
0.88971,1,1,NaN,1,1,1,1,1,1,1,0.88971,1,1,1,1,1,1,1,B22VIPU,B
0.69444,0.69444,0.4,0.61905,0.66667,0.3,0.68889,0.47619,0.57143,0.48889,0.58333,0.69444,0.66667,0.6,0.78571,0.33333,0.58333,0.42857,0.5,B24CECU,B
0.94505,0.94505,0.75238,1,0.84167,0.84615,0.9,NaN,0.84167,0.84167,1,0.81667,0.77206,0.84167,0.84167,0.89744,0.88571,1,0.86667,B4CAZAD,B
0.63636,0.62121,0.71111,0.61818,0.66667,0.57143,0.80952,0.64444,0.77778,0.5641,0.64444,0.52381,0.85714,0,0.62637,0.72727,0.5,0.93333,0.68889,B7MESEA,B
0.86667,0.91429,0.88571,0.86667,0.76923,0.33333,0.96154,0.9011,0.86667,0.94505,0.96154,0.91429,0.80769,0.91429,0.86667,0.9011,0.97222,NaN,0.88571,B8RAMOM,B
0.61818,0.80952,0.67857,0.72727,0.68182,0.72222,0.51282,0.75556,0.5,0.66667,0.65455,0.54545,0.8,0.65455,0.64103,0.60606,0.69444,0.71429,0.65455,M9BENIE,M
0.81818,0.67033,1,0.89091,0.6,0,0.75,0.89091,0.71795,0.71429,0.33333,0.81818,0.53571,0.61538,0.71795,0.77273,0.80303,0.89091,0.7619,M12SAES,M
0.83516,0.84615,0.86111,0.79121,0.78095,1,0.98182,0.86813,0.79048,1,0.83636,0.87879,0.9697,0.86813,0.86813,0.79048,NaN,NaN,0.9697,M19NAMO,M
0.65385,0.68182,0.61905,0.83333,0.81818,0.77778,0.66667,0.68132,0.76923,0.81818,0.64103,0.86667,0,0.61905,0.6,0.83333,0.4,0.84444,0.75556,M24SAME,M
0.75556,0.69697,0.69697,0.76364,0.71429,0.66667,0.66667,0.80556,0.56364,0.73333,0.93333,0.67857,0.67857,0.75,0.71212,0.71212,0.4,0.7,0.63636,M27MUAG,M
0.52727,0.7619,0.66667,0.71429,0.82143,0.57778,0.93333,0.72222,0.63889,0.33333,0.64286,0.71429,0.75,0.6,0.69444,0.78571,0.57143,0.37778,0.82143,M3ESDIR,M
0.825,0.89744,0.80147,0.97778,0.86813,0.80147,0.86667,0.86667,0.91209,0.73856,0.80303,0.9697,0.93939,0.79048,1,0.84848,1,0.80147,0.75,M7FLSAA,M
0.8022,0.8022,0.93939,0.79121,0.95238,0.76923,0.97222,0.74725,0.81319,NaN,0.82051,0.9,0.73626,0.72527,0.72381,1,0.77778,1,0.7,M8AVGUK,M
0.8,0.83333,0.89091,0.79412,0.91209,0.79412,1,0.97436,0.79412,0.86667,0.97436,0.77778,0.81905,0.93407,0.94872,0.88571,0.84615,1,0.79412,M9SAAND,M
