durante_C_delta_1,durante_C_delta_2,durante_C_delta_3,durante_C_delta_4,durante_C_delta_5,durante_C_delta_6,durante_C_delta_7,durante_C_delta_8,durante_C_delta_9,durante_C_delta_10,durante_C_delta_11,durante_C_delta_12,durante_C_delta_13,durante_C_delta_14,durante_C_delta_15,durante_C_delta_16,durante_C_delta_17,durante_C_delta_18,durante_C_delta_19,Sujeto,Clase
0.66667,0.95556,0.74242,0.46667,0.47619,0.93333,0.89091,0.70513,0.5303,0.83636,0.5,1,0.80303,0.83636,0.77778,0.6,0.80303,0.80303,0.8,A22SAHE,A
1,1,1,1,1,1,0.90196,1,1,1,1,1,1,1,0.90196,1,1,1,0.90196,A24FLMA,A
0.80833,0.33333,0.80833,0.92727,0.9011,0.80833,1,0.82222,0.8,0.87912,0.89744,0.84762,0.91209,0.86667,0.86667,0.96364,0.82418,0.92308,NaN,A27HECE,A
0.87879,0.85714,0.90909,0.85714,0.94444,0.90909,0.85714,NaN,0.8,0.8,0.69697,0.85897,0.81319,0.89744,0.85714,NaN,0.89744,0.90909,NaN,A28TOPA,A
0,0.80769,0.92857,0.74167,0.74167,0.92727,0.87273,0.74167,0.86667,0.75,0.74167,0.74545,NaN,0.81319,0.87879,0.84615,0.90909,0.87179,0.89394,A52CUCA,A
0.63636,0.75,0.67273,0.60606,0.52564,0.53333,0.85714,0.71429,0.66667,0.71429,1,0.8,0.61111,0.85714,0.66667,0.67857,1,0.75556,0.80952,A8ESSAI,A
0.95238,0.77778,0.6,0.60714,0.78571,0.66667,0.78571,1,0.56061,0.82143,0.46429,0.71111,0.77778,0.63889,0.5303,0.48889,0.77778,0.63889,0.78571,A9AYAND,A
0.8,0.60952,0.89286,0.84444,0.75758,0.70513,0.65455,1,0.77778,0.62222,0.71795,0.8,0.83636,0.8,0.66667,0.70513,0.65385,0.78182,0.66667,M9BENIE,M
0.71111,0.66667,0.5,0.64444,0.65455,0.63636,0.75,0.55556,0.61905,0.61905,0.63636,0.61111,0.56061,0.4,0.71429,0.68889,0.73333,0.7619,0.71429,M10CAUR,M
0.85714,0.825,0.82418,0.88571,0.95455,1,0.83333,0.86813,0.825,1,0.825,0.7619,0.8,0.92308,0.825,0.82857,0.7619,0.87273,0.825,M11BADE,M
0.91209,0.78095,0.95238,0.8381,0.82222,0.91209,0.78333,0.90476,0.78095,0.85897,0.76667,0.8381,0.8381,0.9011,0.92857,1,0.8381,0.8381,0.8381,M12SAES,M
0.9,0.47619,0.49091,0.63636,0.65152,0.61905,0.38095,1,0.6,0.94444,0.94444,0.9,0.47619,0.70909,0.94444,0.94444,0.9,0.75556,0.94444,M13FECA,M
0.83636,0.76923,0.90909,0.84615,0.76923,0.8022,0.97222,0.73077,0.78182,0.87879,0.73333,NaN,0.86667,0.77143,0.79487,0.86111,0.77143,0.74286,0.67857,M16ARVE,M
0.73077,0.81818,0.86667,0.5,0.72727,0.90476,0.46667,NaN,0.81818,0.92857,0.66667,0.86667,0.81818,0.71111,0.33333,0.87273,0.81818,0.66667,0.87273,M17GOSE,M
0.90196,0.99265,0.99265,0.99265,1,0.90196,0.99265,0.99265,0.99265,0.99265,0.99265,1,0.99265,0.90441,0.99265,0.99265,0.99265,0.90196,0.99265,M18HUME,M
0.58182,0.67857,0.66667,0.71429,0.64444,0.77778,0.77778,0.85714,0.72222,0.66667,0.6,0.66667,0.64444,0.6,0.77778,0.66667,0.71429,0.44444,0.75,M19NAMO,M
0.67273,0.6,0.73333,0.70909,0.61905,0.65152,0.67273,0.7619,0.69444,0.82143,0.72222,0.69444,0.73333,0.75556,0.71429,0.6,0.67857,0.83333,0.4,M21SANA,M
1,0.89394,0.81618,0.76471,0.85714,0.95238,0.84167,0.85897,0.82857,0.81618,0.87619,0.98182,0.76471,0.83333,0.87619,0.95455,0.81618,1,0.825,M22HUGU,M
0.86111,0.77273,0.83636,0.68132,0.66667,0.83333,NaN,0.72222,0.78788,0.91667,0.66667,0.89286,0.71429,0.68182,0.82143,0.67273,0.65934,0.93333,1,M23SACA,M
0.67857,0.7619,1,0.84444,0.74545,0.52381,0.66667,0.88889,0.53846,0.52747,0.74545,1,0.69091,0.74545,0.82143,0.66667,0.62121,0.86667,0.53333,M24SAME,M
1,1,0.71429,0.78022,0.84848,0.5,0.57143,1,0.82051,0.95556,0.74725,0.92727,0.92727,0.86667,0.61818,0.86667,0.78022,0.92727,0.82051,M25MAVI,M
0.70909,0.5,0.66667,0.73333,0.74545,0.6,0.66667,0.66667,0.70909,0.60256,0.63889,0.53333,0.64286,0.68889,0.67857,0.73333,0.4,0.6,0.8,M27MUAG,M
0.67857,0.90476,0.62121,0.68132,0.78205,0.66667,0.93333,1,0.66667,0.76364,0.78205,0.85714,0.65934,0.62857,0.83333,0.83333,0.93333,0.97222,0.93333,M28NUCO,M
0.8,0.8,0.81319,0.84615,0.78022,0.85455,0.74242,0.9,0.80952,0.8,0.72381,0.81319,0.84615,0.83516,0.78022,0.67273,0.82143,0.66667,1,M3ESDIR,M
0.82222,0.76364,0.58088,0.8,0.74545,0.86111,0.67949,0.67949,0.72727,0.65934,0.92857,0.74545,0.77778,0.61538,0.80556,0.90476,1,0.95238,0.58974,M7FLSAA,M
1,0.78431,0.94167,0.94167,0.94167,0.94167,1,0.94167,0.78431,1,1,1,0.78431,1,1,1,0.78182,0.94167,1,M8AVGUK,M
0.85294,0.93407,1,0.91429,0.88235,0.89167,0.90833,0.89167,0.83007,0.88235,0.98182,0.83007,1,0.88235,0.88235,0.88235,0.89524,0.86029,0.95455,M9SAAND,M
