durante_C_theta_1,durante_C_theta_2,durante_C_theta_3,durante_C_theta_4,durante_C_theta_5,durante_C_theta_6,durante_C_theta_7,durante_C_theta_8,durante_C_theta_9,durante_C_theta_10,durante_C_theta_11,durante_C_theta_12,durante_C_theta_13,durante_C_theta_14,durante_C_theta_15,durante_C_theta_16,durante_C_theta_17,durante_C_theta_18,durante_C_theta_19,Sujeto,Clase
0.53333,0.60714,0.69444,0.6,0.8,0.83333,0.56364,0.53333,0.69444,0.64444,0.6,0.7,1,0.66667,0.54545,0.5,0.90476,1,0.69444,B4CAZAD,B
0.69697,0.67949,0.69231,0.72727,0.75,0.78182,0.76364,1,0.95238,0.70909,0.75,0.72727,0.8,0.67949,0.8,0.5,1,0.75758,NaN,B5ARMON,B
0.55556,0.77778,0.84444,0.5,0.33333,0.8,0.33333,1,0.94444,0.76364,0.55556,1,0.94444,0.94444,0.65385,0.46667,0.67273,0.86111,0.66667,B6SOMOD,B
0.5,0.42424,0.53333,0.58182,0.8,0.66667,0.33333,0.61905,0.52381,0.67857,0.83333,0.53571,0.60714,0.57778,0.57778,0.71429,1,1,0.55556,B7MESEA,B
1,0.54545,0.84444,0.89091,0.89091,0.66667,0.81818,0.78788,1,0.58242,0.67033,0.7619,0.66667,0.73077,0.83636,0.80303,0.8,NaN,1,B8RAMOM,B
0.68889,0.67033,0.70513,0.7033,0.69231,1,0.75,0.77778,0.77778,0.82222,0.69444,0.67949,0.74242,0.65934,0.66667,0.69697,0.74242,0.77778,0.82143,M9BENIE,M
0.86667,0.38889,1,1,0.57143,0.86667,0.66667,0.5,1,0.6,0.8,0.66667,0.66667,0.33333,0.8,0.37778,0.33333,0,0.33333,M10CAUR,M
0.81818,0.78182,0.85714,0.72727,0.80556,1,0.7,0.69444,0.75641,0.74242,0.66667,0.81818,0.87273,0.86667,0.86667,0.66667,0.86667,1,0.81818,M11BADE,M
0.95238,0.66667,0.76364,0.69231,0.72222,0.5,NaN,0.67857,0.66667,0.59091,0.65934,0.61538,0.71429,0.78182,0.74242,0.82143,0.86111,0.75556,0.82222,M12SAES,M
0.63636,0.8,0.66667,0.62222,0.78571,1,NaN,0.75,0.53846,0.60606,0.82143,0.67273,0.70909,0.85714,0.77778,0.52381,0.58182,0.56061,0.77778,M13FECA,M
0.60714,0.8,0.52381,0.5,0.66667,0.73333,1,0.6,0.9,0.57143,0.66667,0.42857,0.66667,1,0.66667,0.66667,1,0.60714,0.47619,M16ARVE,M
0.81818,0.70909,0.53333,0,1,0.64286,NaN,0,0.70909,0.5,0.83333,0.91111,0.74242,0.8,0.78182,0.81818,0.91111,1,0.66667,M17GOSE,M
0.33333,0.69444,0.58333,0.69444,0.55128,0.57143,0.64286,0.57576,0.6,0.64286,0.75,0.33333,0.78571,0.54945,0.8,0.71429,0.5,0.66667,0.46667,M18HUME,M
0.69091,0.89286,0.63636,0.56061,0.90476,0.33333,0.66667,0.71429,0.74545,0.73333,0.71429,0.77778,0.62821,0.5641,0.63889,0.71429,0.61818,0.66667,0.71429,M19NAMO,M
1,0.9,0.64444,0.64444,0.67857,0.61905,0.66667,0.48485,0.57778,0.86667,0.71429,0.61111,0.67857,0.64444,0.48485,0.53333,0.5,1,1,M21SANA,M
1,0.90476,0.95238,0.95238,0.95238,0.90476,0.95238,0.95238,0.86667,0.95238,1,1,0.90476,0.95238,0.95238,1,0.52381,0.86667,1,M22HUGU,M
0.80952,0.82418,0.88462,0.88462,0.7619,0.80952,0.73333,0.76923,0.87912,0.83516,0.9359,1,0.80952,0.8,0.87912,0.80952,0.78182,1,1,M23SACA,M
0.93939,0.93939,0.84615,0.74242,0.33333,0.96364,0.98182,0.4,0.8022,0.87273,0.84615,0.87879,0.8022,0.84615,0.95238,1,0.84615,0.8022,0.66667,M24SAME,M
0.66667,NaN,0.7033,0.74359,0.63736,1,0.80952,0.69091,0.7619,0.89286,0.74359,0.8,0.8,0.77778,0.70909,0.61905,0.8,0.88889,1,M25MAVI,M
0.83333,0.85714,0.61905,0.5303,0.64286,0.46667,1,0.61905,0.7619,0.82143,0.72222,0.7,0.33333,0.71429,0.58182,0.42857,0.66667,0.53333,0.47619,M27MUAG,M
0.69231,0.61818,0.75641,0.84848,0.81818,0.64444,0.8,0.83333,0.78205,0.84848,0.90909,0.67033,0.76923,0.83636,0.71795,0.80952,0.78571,0.5,0.46667,M28NUCO,M
1,0.86667,1,0.82143,0.92857,1,0.75,0.88889,0.86667,0.61905,0.77778,0.86667,0.57143,0.83333,0.6,0.92857,0.46154,0.69091,0.75556,M3ESDIR,M
1,0.78788,0.625,0.85897,0.92424,0.78022,0.85897,0.95556,0.72381,0.60714,0.79487,0.71795,0.75,0.90476,0.72381,0.94545,0.6,1,0.79487,M7FLSAA,M
0.85833,0.97778,0.88333,0.88333,0.92381,0.89524,0.92381,0.92381,0.85833,1,0.88333,0.81618,0.86813,1,0.88333,0.89524,0.85833,NaN,1,M8AVGUK,M
0.52381,0.75758,0.55238,0.63889,0.93333,0.5641,0.75,0.85714,0.85455,0.82222,0.8,0.85455,0.97222,0.75758,0.6,1,0.85455,0.91667,0.75,M9SAAND,M
