durante_C_alpha_1,durante_C_alpha_2,durante_C_alpha_3,durante_C_alpha_4,durante_C_alpha_5,durante_C_alpha_6,durante_C_alpha_7,durante_C_alpha_8,durante_C_alpha_9,durante_C_alpha_10,durante_C_alpha_11,durante_C_alpha_12,durante_C_alpha_13,durante_C_alpha_14,durante_C_alpha_15,durante_C_alpha_16,durante_C_alpha_17,durante_C_alpha_18,durante_C_alpha_19,Sujeto,Clase
1,0.83824,0.94167,0.94167,0.9619,0.83824,0.83824,0.94167,0.83824,0.94167,1,1,0.81046,0.94167,0.94167,0.9619,0.84762,0.94167,0.94167,M22HUGU,M
0.5,0.5,0.73333,0.61905,0.38095,0.66667,1,0.8,0.57143,0.9,0.61905,0.4,0.33333,0.8,0.8,0.5,0.66667,0.66667,1,M23SACA,M
1,0.89286,0.50909,1,0.83333,0.71111,0.66667,NaN,0.86111,0.53571,0.4,0.83333,0.83333,0.77778,0.83333,0.53333,0.61905,0.77778,0.46667,M24SAME,M
0.6,0,0.2,0.4,0.33333,0.5,0.5,0.2,0.53571,0.66667,0.16667,0.73333,0.8,NaN,0.33333,0.16667,0.5,0.8,0,M25MAVI,M
0.66667,0.83636,0.52381,0.77273,0.78182,0.66667,NaN,0.81818,0.75641,0.75641,0.81818,0.57778,0.81818,0.83333,0.81818,0.80952,0.74242,0.85714,NaN,M27MUAG,M
0.96429,NaN,0.58333,0.6,0.83333,0,0.3,0.5,0.96429,0.77778,0.5,0.75,0.96429,0.96429,0.51111,0.5,0.75,0,NaN,M28NUCO,M
0.89011,0.9697,1,0.86364,0.75735,0.75735,0.91667,0.82051,0.94872,0.75833,0.69281,0.89011,0.75735,0.83516,0.97222,0.93333,0.89011,0.775,0.91667,M3ESDIR,M
0.62222,0.66667,0.51648,0.77778,0.75556,0.82143,0.69091,0.68182,0.67857,0.85714,0.77778,0.75,0.62121,0.7619,1,0.70909,0.61818,0.80952,0.56061,M7FLSAA,M
0.77778,0.61538,0.67273,0.69444,0.58182,0.6,0.7619,0.83333,0.61538,0.77778,0.80952,0.83333,0.89286,0.63636,0.67857,0.7619,0.85714,1,NaN,M8AVGUK,M
1,0.89524,0.86667,0.78676,0.91026,1,0.89744,0.93407,0.89524,0.84167,0.80556,0.83333,0.84167,0.78676,0.74286,1,0.83333,0.90476,0.74359,M9SAAND,M
