despues_C_theta_1,despues_C_theta_2,despues_C_theta_3,despues_C_theta_4,despues_C_theta_5,despues_C_theta_6,despues_C_theta_7,despues_C_theta_8,despues_C_theta_9,despues_C_theta_10,despues_C_theta_11,despues_C_theta_12,despues_C_theta_13,despues_C_theta_14,despues_C_theta_15,despues_C_theta_16,despues_C_theta_17,despues_C_theta_18,despues_C_theta_19,Sujeto,Clase
0.8,0.59167,0.82051,0.83333,1,0.57143,0.89091,0.86364,0.8,0.73626,0.83333,0.7619,0.60606,0.90909,0.79487,0.8,0.65714,0.93333,0.90909,A8ESSAI,A
0.52727,0.95238,0.75,0.57778,1,0.95238,0.7619,0.90476,1,0.78571,0.75,0.69444,0.95238,0.64286,0.50909,0.53333,0.69444,0.8,0.52381,A9AYAND,A
NaN,NaN,0.6,0.8,0.8,0,0.4,0.8,0,0.46429,0.5,1,0.52381,0.53571,0.73333,0.6,NaN,1,0.8,M9BENIE,M
0.58242,0.71111,0.86111,0.77778,0.86667,0.83333,0.61905,0.71429,0.77778,0.64835,0.94444,0.69091,0.77778,0.59167,0.84444,0.86667,0.71429,0.71111,0.62857,M10CAUR,M
0.71429,0.66667,0.82222,0.80303,0.85714,0.66667,0.7619,0.72727,0.58095,0.64762,0.80303,0.7619,0.60952,0.75,0.82222,0.65385,0.75,0.74359,0.82222,M11BADE,M
0.6,0.80556,0.62121,0.44444,0.33333,0.8,0.75,0.5,0.8,0.63636,0.42857,0.57778,0.69091,0.73333,0.3,0.66667,0.6,1,0.47619,M12SAES,M
0.5,1,0.52727,0.6,NaN,NaN,0.82143,1,1,0.6,0.53333,NaN,1,NaN,1,0,1,0.82143,NaN,M13FECA,M
0.72727,0.55556,0.75556,0.78571,0.84444,0.32143,1,1,0.92857,0.83333,0.72727,0.74545,0.3,0.74545,0.6,0.4,0.66667,0.53333,0.5,M16ARVE,M
0.91111,0.94444,0.66667,0.66667,0.2,0.66667,1,0.66667,0.76364,0.54545,0.83333,0.91111,0.91111,0.80556,0.4,0.26667,0.91111,0.67273,0.83333,M17GOSE,M
0.75,0.54545,0.57143,0.68889,0.61905,0.8,0.78571,0.90476,0.55556,0.61111,0.49091,0.75,0.63889,0.71429,1,0.82143,0.67857,0.66667,1,M18HUME,M
0.77778,0.53333,0.75556,0.66667,0.61111,0.66667,0.7619,0.66667,0.59091,0.5,0.64444,0.74545,0.16667,0.62821,0.65385,0.74545,0.85714,0.53333,0.65152,M19NAMO,M
1,0.84615,0.71429,0.69853,0.93333,0.96364,0.74167,0.65934,0.74167,0.85455,0.67857,0.87879,0.74167,0.91111,0.78205,1,0.96364,0.90909,0.83636,M21SANA,M
0.92857,0.72381,0.87179,0.92727,0.73333,0.74725,0.78205,0.87179,0.7,0.84615,0.84615,0.92857,0.65714,0.91111,0.84615,0.74242,1,1,0.88889,M22HUGU,M
0.8,0.70909,0.82143,0.60952,0.57692,0.95238,0.80952,0.69091,0.70909,0.70909,0.64835,0.5,0.71212,0.8,0.74242,0.8,0.6,0.91667,0.85714,M23SACA,M
0.9,0.78571,0.56061,0.56364,0.73333,0.73333,NaN,0.66667,0.57778,0.7619,0.59091,0.9,0.62222,0.60714,0.80952,0.9,0.58182,0.71111,0.61111,M24SAME,M
0.62637,0.66667,0.71429,0.82051,0.92727,0.6,0,1,0.74359,1,0.82051,0.66667,0.71429,0.82051,0.82051,0.76364,0.9,0.70909,0.75556,M25MAVI,M
0.71111,0.61538,0.66667,0.9,0.64444,0.68889,0.71429,0.62222,0.61538,0.61538,0.46429,0.89286,0.65385,0.63636,0.63636,0.61818,0.89286,0.85714,0.8,M27MUAG,M
1,1,0.65385,0.72727,NaN,1,1,0.50909,0.90476,0.83333,0.72727,0.47619,0.66667,0.72727,0.78182,0.66667,0.82143,0.78182,0.86111,M28NUCO,M
1,0.91667,1,0.61818,0.6,0.33333,0.44444,0.8,0.91667,0.91667,0.75556,0.3,0.91667,0.74545,0.52778,0.6,0.55556,0.66667,0.53571,M3ESDIR,M
1,0.51515,0.6,0.60256,0.69444,0.69444,0.62222,0.71429,0.71212,0.63636,0.66667,0.75556,0.65455,0.75,0.74545,0.73333,0.61818,1,0.64444,M7FLSAA,M
0.74242,0.76923,0.84615,0.74286,0.66667,0.85897,0.89394,0.77778,0.73077,0.73077,0.79121,0.70513,0.74167,0.78182,0.67949,0.66667,0.6,0.84848,0.6,M8AVGUK,M
0.55556,0.73333,0.67857,0.58182,0.41818,0.71429,0.71429,0.73333,0.55556,0.52727,1,0.57778,0.52727,0.47273,0.60714,1,1,0.53571,0.63889,M9SAAND,M
