durante_C_delta_1,durante_C_delta_2,durante_C_delta_3,durante_C_delta_4,durante_C_delta_5,durante_C_delta_6,durante_C_delta_7,durante_C_delta_8,durante_C_delta_9,durante_C_delta_10,durante_C_delta_11,durante_C_delta_12,durante_C_delta_13,durante_C_delta_14,durante_C_delta_15,durante_C_delta_16,durante_C_delta_17,durante_C_delta_18,durante_C_delta_19,Sujeto,Clase
0.80833,0.33333,0.80833,0.92727,0.9011,0.80833,1,0.82222,0.8,0.87912,0.89744,0.84762,0.91209,0.86667,0.86667,0.96364,0.82418,0.92308,NaN,A27HECE,M
0.87879,0.85714,0.90909,0.85714,0.94444,0.90909,0.85714,NaN,0.8,0.8,0.69697,0.85897,0.81319,0.89744,0.85714,NaN,0.89744,0.90909,NaN,A28TOPA,M
0,0.80769,0.92857,0.74167,0.74167,0.92727,0.87273,0.74167,0.86667,0.75,0.74167,0.74545,NaN,0.81319,0.87879,0.84615,0.90909,0.87179,0.89394,A52CUCA,H
0.75,0.68571,0.55556,0.81818,0.87273,0.85455,0.89286,0.65934,0.82143,0.72527,0.76923,1,0.63636,0.65455,0.80303,0.83636,0.33333,1,0.76923,B12LARA,H
0.77778,1,0.71111,0.69444,0.93333,0.93333,0.33333,0.52381,0.83333,0.62222,0.85714,0.73333,0.80556,0.61538,0.58182,0.56061,0.57143,0.77778,0.66667,B13VIGA,H
0.81818,0.88889,0.67273,0.47222,1,0.81818,0.81818,0.8,1,0.67273,0.8,0.81818,0.75,0.82222,0.72727,1,0.81818,1,0.38889,B14FOVA,M
0,0.92857,0.86111,0.65455,0.7619,NaN,1,0.90476,0.69091,0.68889,0.33333,0,0.78571,0.86111,0.7619,0.90476,0.68889,0.78571,0.60256,B17ARTO,M
0.88889,0.76364,0.77273,1,1,1,0.83333,1,0.88889,0.77273,0.65455,0.88889,0.62637,0.69231,0.65455,0.85714,0.88889,0.77273,0.57576,B18CASI,H
0.72222,0.82143,0.6,0.72222,0.75,0.78571,0.78571,0.4,0.61111,0.54545,0.75,0.58333,0.47619,0.57143,0.69444,0.57778,0.61111,0.73333,0.71429,B20RORA,M
0.91176,0.95238,0.94286,1,0.95,1,0.98182,0.91176,0.94167,0.91176,0.95,0.91176,0.94167,0.91176,0.95,0.9619,0.81699,0.81618,0.95,B22VIPU,H
0.75641,0.91111,0.83333,0.86111,0.73626,0.66667,0.86111,0.75641,0.83333,0.71429,0.73626,1,0.55556,0.68182,0.75824,0.81818,1,1,0.71429,B23VEZE,M
0.91429,0.85833,0.84167,0.80952,0.91429,0.87619,0.81319,0.85833,0.79412,0.93407,0.9359,0.76471,0.87619,0.90909,0.85833,0.81905,0.80556,0.90476,0.775,B25MEVI,M
0.73333,0.78022,0.70476,0.78788,0.74286,0.9,0.85714,0.75758,0.85897,0.80769,0.87273,0.68571,0.73333,0.90476,0.73333,1,0.8,1,0.85897,B5ARMON,M
0.33333,0.80769,0.80769,0.71212,0.7,0.64444,0.76923,0.78182,0.75758,0.80769,0.75641,0.7,0.80769,0.90909,0.66667,0.62222,1,0.77778,0.80769,B6SOMOD,M
0.63889,0.68182,0.46667,0.66667,0.69444,0.75,0.64444,0.66667,0.68889,0.3,0.71111,0.33333,0.57143,0.46667,0.6,0.75,0.38095,0.54545,0.66667,B7MESEA,H
0.8,0.60952,0.89286,0.84444,0.75758,0.70513,0.65455,1,0.77778,0.62222,0.71795,0.8,0.83636,0.8,0.66667,0.70513,0.65385,0.78182,0.66667,M9BENIE,H
0.85714,0.825,0.82418,0.88571,0.95455,1,0.83333,0.86813,0.825,1,0.825,0.7619,0.8,0.92308,0.825,0.82857,0.7619,0.87273,0.825,M11BADE,M
0.9,0.47619,0.49091,0.63636,0.65152,0.61905,0.38095,1,0.6,0.94444,0.94444,0.9,0.47619,0.70909,0.94444,0.94444,0.9,0.75556,0.94444,M13FECA,M
0.83636,0.76923,0.90909,0.84615,0.76923,0.8022,0.97222,0.73077,0.78182,0.87879,0.73333,NaN,0.86667,0.77143,0.79487,0.86111,0.77143,0.74286,0.67857,M16ARVE,M
0.73077,0.81818,0.86667,0.5,0.72727,0.90476,0.46667,NaN,0.81818,0.92857,0.66667,0.86667,0.81818,0.71111,0.33333,0.87273,0.81818,0.66667,0.87273,M17GOSE,M
0.90196,0.99265,0.99265,0.99265,1,0.90196,0.99265,0.99265,0.99265,0.99265,0.99265,1,0.99265,0.90441,0.99265,0.99265,0.99265,0.90196,0.99265,M18HUME,M
0.58182,0.67857,0.66667,0.71429,0.64444,0.77778,0.77778,0.85714,0.72222,0.66667,0.6,0.66667,0.64444,0.6,0.77778,0.66667,0.71429,0.44444,0.75,M19NAMO,H
0.67273,0.6,0.73333,0.70909,0.61905,0.65152,0.67273,0.7619,0.69444,0.82143,0.72222,0.69444,0.73333,0.75556,0.71429,0.6,0.67857,0.83333,0.4,M21SANA,M
1,0.89394,0.81618,0.76471,0.85714,0.95238,0.84167,0.85897,0.82857,0.81618,0.87619,0.98182,0.76471,0.83333,0.87619,0.95455,0.81618,1,0.825,M22HUGU,M
0.86111,0.77273,0.83636,0.68132,0.66667,0.83333,NaN,0.72222,0.78788,0.91667,0.66667,0.89286,0.71429,0.68182,0.82143,0.67273,0.65934,0.93333,1,M23SACA,M
1,1,0.71429,0.78022,0.84848,0.5,0.57143,1,0.82051,0.95556,0.74725,0.92727,0.92727,0.86667,0.61818,0.86667,0.78022,0.92727,0.82051,M25MAVI,M
0.67857,0.90476,0.62121,0.68132,0.78205,0.66667,0.93333,1,0.66667,0.76364,0.78205,0.85714,0.65934,0.62857,0.83333,0.83333,0.93333,0.97222,0.93333,M28NUCO,M
0.8,0.8,0.81319,0.84615,0.78022,0.85455,0.74242,0.9,0.80952,0.8,0.72381,0.81319,0.84615,0.83516,0.78022,0.67273,0.82143,0.66667,1,M3ESDIR,H
1,0.78431,0.94167,0.94167,0.94167,0.94167,1,0.94167,0.78431,1,1,1,0.78431,1,1,1,0.78182,0.94167,1,M8AVGUK,H
0.85294,0.93407,1,0.91429,0.88235,0.89167,0.90833,0.89167,0.83007,0.88235,0.98182,0.83007,1,0.88235,0.88235,0.88235,0.89524,0.86029,0.95455,M9SAAND,H
